Aadhar Number,Name,Date of Birth,PAN,Salary Earned,Allowance,Pension Type,Bank Name,Account Number,Bank Type
234151234234,Shuktika Mahanty,1955-02-15,BHKPC2580Q,64000,18000,family,HSBC,1000112341234,private
123415123435,Ritam Chakraborty,1957-12-16,BHKPC3717Q,91000,20000,self,SBI,4495089648456770,public
123415134236,Wesley MacGyver,1955-02-17,BHKPC7167Q,94000,24000,family,IDBI,5375189802510200,private
123415123237,Launa Becker,1955-02-18,BHKPC6352Q,70000,30000,self,HDFC,4407010689296890,private
123415123438,Carey Keeling,1955-02-19,BHKPC8601Q,92000,18000,self,IDBI,5538010220263550,private
123415123239,Florentino Christiansen,1955-02-20,BHKPC1648Q,74000,16000,self,HSBC,5195101227292660,private
123415123440,January Schoen,1955-02-21,BHKPC9425Q,86000,21000,self,SBI,4350868601378560,public
123415124241,Manie Goodwin,1955-02-22,BHKPC4032Q,98000,17000,family,AXIS,5197120000000000,private
123415123442,Anitra Champlin,1955-02-23,BHKPC5486Q,53000,24000,self,HDFC,4631330918019850,private
123411234243,Frederic Powlowski,1955-02-24,BHKPC8520Q,58000,22000,self,PNB,4694413288941,public
123415123244,Fatimah Grimes,1955-02-25,BHKPC9765Q,99000,13000,family,SBI,4933362512431250,public
123411234245,Velvet Rohan,1955-02-26,BHKPC3216Q,61000,16000,self,IDBI,4315700000000000,private
123411234246,Tanner Bartell,1955-02-27,BHKPC3341Q,52000,19000,self,HSBC,6771893643439210,private
123451234247,Eddy Keeling,1955-02-28,BHKPC4741Q,94000,14000,family,ICICI,4200565330363140,private
124151234248,Reyes Renner,1955-03-01,BHKPC2340Q,73000,29000,self,HDFC,6771895114519450,private
123415124249,Mackenzie Hodkiewicz,1955-03-02,BHKPC5987Q,74000,13000,family,PNB,4448422748340,public
123415123250,Emmett Heathcote,1955-03-03,BHKPC8047Q,88000,24000,family,SBI,5388590730493970,public
123415123451,Yael Cole,1955-03-04,BHKPC6693Q,50000,26000,self,SBI,4790042922891370,public
123415123252,Shawanda Casper,1955-03-05,BHKPC1166Q,88000,27000,self,HSBC,6771897337898680,private
123415123425,Cornell Lowe,1955-03-06,BHKPC9619Q,62000,13000,family,IDBI,4524048918751640,private
